59.0755615478627° N           9.77508215535523° E
59.0679216402901° N           9.77455003651171° E
59.0595625237577° N           9.77055221317986° E
59.0475638119416° N           9.76585519480064° E
59.042118696127° N            9.76040900483983° E
59.0485597933971° N           9.75354807537899° E
59.0550628784726° N           9.75152441021613° E
59.0592544807812° N           9.74649052132127° E
59.0621468197585° N           9.74200442283589° E
59.0660903486524° N           9.73394523043989° E
59.0689198570096° N           9.72944491671687° E
59.0729244964356° N           9.72400228018578° E
59.0683713514921° N           9.71852373113267° E
59.0700889183713° N           9.71408381609817° E
59.0733643519272° N           9.7042789597955° E
59.0796459889508° N           9.70354921055696° E
59.0868091088533° N           9.70232672574292° E
59.0929000030711° N           9.70336261713778° E
59.1006210397447° N           9.70909698168526° E
59.1068979491622° N           9.70707070728548° E
59.108734243455° N            9.7017202260352° E
59.1069480009535° N           9.69394296017988° E
59.1026195687798° N           9.68757850302472° E
59.0957813703104° N           9.68217883709445° E
59.0865950608522° N           9.68437596673981° E
59.0773720004397° N           9.68397471509748° E
59.0679775941538° N           9.68705720255141° E
59.0619744392455° N           9.69302233578461° E
59.0585927250389° N           9.69360342369057° E
59.0572599257986° N           9.69411258163063° E
59.0532270434191° N           9.69474115547468° E
59.0504214837073° N           9.686988056926° E
59.0525369825075° N           9.67727509903585° E
59.05417308784° N             9.66496679431937° E
59.0565046558372° N           9.65434914264221° E
59.0615318935506° N           9.64315103457755° E
59.0693078678508° N           9.63577151327759° E
59.0789266329847° N           9.63004076664937° E
59.0872266478171° N           9.62876063342964° E
59.0955951084211° N           9.63229094398907° E
59.101669830185° N            9.63329398344475° E
59.1079007344625° N           9.62774172566182° E
59.1140908661305° N           9.61998976286944° E
59.117727277419° N            9.60490792760216° E
59.120372713133° N            9.60126653684686° E
59.1230650993348° N           9.60199698126081° E
59.1267280798928° N           9.60577176543398° E
59.1300324901924° N           9.61743533988756° E
59.1337880541613° N           9.62906619655158° E
59.1328971918012° N           9.63132979804598° E
59.1326991647432° N           9.6313264061273° E
59.1431773519468° N           9.64132219586631° E
59.1477292812681° N           9.6454872389613° E
59.1546521430584° N           9.64295900830802° E
59.1622036480307° N           9.63555214723136° E
59.1715063708285° N           9.62542906462374° E
59.1815396232539° N           9.61879525291006° E
59.1925087834187° N           9.61428847664889° E
59.1973707208324° N           9.60834819967771° E
59.1943989047384° N           9.60320613099357° E
59.1883697819749° N           9.60660272367893° E
59.182595422276° N            9.61259295644336° E
59.1761238373091° N           9.61688387479021° E
59.1692070906072° N           9.62159571278043° E
59.1605133864378° N           9.62687285189367° E
59.1518428802029° N           9.63432678198107° E
59.1459491308039° N           9.63155045958053° E
59.1406455851268° N           9.62129806096408° E
59.1360371607671° N           9.61188478900834° E
59.1314248574284° N           9.60377049067509° E
59.1267870713137° N           9.59349798211045° E
59.1260634591914° N           9.59090486540316° E
59.1260868305559° N           9.59132996770999° E
59.1236751266223° N           9.58049086277147° E
59.1242258904569° N           9.57125690245524° E
59.1228704146784° N           9.5704530199473° E
59.1193366990377° N           9.57457434448856° E
59.1174495047863° N           9.56899035325145° E
59.1204545694244° N           9.55877483077709° E
59.1256767118368° N           9.54532008532874° E
59.1284220698831° N           9.53289504023959° E
59.1286215361441° N           9.51447946160952° E
59.1268646632884° N           9.50231595588945° E
59.1216733242207° N           9.50039956826794° E
59.1220924293877° N           9.5135501531084° E
59.1229795673585° N           9.52882317984535° E
59.1206488777585° N           9.53946868740112° E
59.1156206735812° N           9.54893020775497° E
59.1106758786733° N           9.54873614444908° E
59.1062541841428° N           9.55510498952479° E
59.1036435904608° N           9.56092662047037° E
59.1024248029612° N           9.57197061998832° E
59.1023089299612° N           9.58026667556358° E
59.0981157179055° N           9.58618385099134° E
59.0905306354193° N           9.59183122298848° E
59.0836685571729° N           9.59919089277465° E
59.0818079480673° N           9.61020856405389° E
59.0771760497935° N           9.61832656642001° E
59.0692865686524° N           9.61652159993902° E
59.062590294648° N            9.62079057070709° E
59.0611740560792° N           9.63223645903477° E
59.0558673410249° N           9.63907931279421° E
59.0493656327563° N           9.64112445744613° E
59.047061911538° N            9.65349462018472° E
59.0480896629672° N           9.66483267557396° E
59.0482238479786° N           9.67444116927597° E
59.0456741717105° N           9.68419077813146° E
59.0413091719132° N           9.6948782391179° E
59.0358144263403° N           9.70474780581554° E
59.0298348291665° N           9.71422229496701° E
59.0250344817578° N           9.72404715174532° E
59.0210651242115° N           9.73036313883172° E
59.0163973539723° N           9.73624357880268° E
59.009723522433° N            9.74050561036374° E
59.0043346872388° N           9.74379605552294° E
59.0021121186608° N           9.74477396302124° E
58.9998369620135° N           9.74313948176926° E
58.9924479692779° N           9.74435965317163° E
58.9892522687443° N           9.74275445856795° E
58.9939509469003° N           9.73905032160759° E
58.9963058962267° N           9.73018852636977° E
58.9978112077304° N           9.72447690706426° E
59.0011722642175° N           9.72429706840926° E
59.0053928044726° N           9.71799815910053° E
59.0046115221432° N           9.71016081957773° E
59.0056400182788° N           9.70355054390323° E
59.0073091271389° N           9.6925762462059° E
59.0032280925501° N           9.69013898906719° E
58.9987787860043° N           9.69341028033191° E
58.9939180617037° N           9.69974313550325° E
58.9890291842382° N           9.70435804638154° E
58.9853335776121° N           9.69710874306745° E
58.9849445898711° N           9.68446590160151° E
58.9790870904045° N           9.68344848626131° E
58.9791978213343° N           9.69346956649737° E
58.9763374574469° N           9.69840910702558° E
58.9697554628047° N           9.69260771259192° E
58.9649430973415° N           9.6858620119149° E
58.9687011343712° N           9.68132432521072° E
58.9729456144464° N           9.67939268378763° E
58.969168817757° N            9.66602798929018° E
58.9675020148633° N           9.65783716578882° E
58.9709985761187° N           9.65066352797716° E
58.9680270336173° N           9.64644265457355° E
58.9660854276825° N           9.65177142959346° E
58.963528561204° N            9.64579979785879° E
58.9592523038546° N           9.64643835523833° E
58.9591433621147° N           9.6377146298524° E
58.9581664468259° N           9.63166636899613° E
58.9558349472939° N           9.6247995195385° E
58.9522220735124° N           9.6241037166929° E
58.9476642006466° N           9.62216268603542° E
58.946866102244° N            9.61174071083119° E
58.9513076016969° N           9.60717182878702° E
58.9467255771507° N           9.59954526398255° E
58.9443365227902° N           9.59007477831875° E
58.9422203482386° N           9.58318532589077° E
58.933972359961° N            9.58927567154787° E
58.9327522904709° N           9.59674444172973° E
58.9368311337174° N           9.59960007255815° E
58.9371970800418° N           9.61091159015675° E
58.940169029093° N            9.61514277548348° E
58.9431934310255° N           9.62238308090655° E
58.9407827737321° N           9.62774101759447° E
58.9371422532103° N           9.6235542425832° E
58.9340813246962° N           9.61369406313322° E
58.9312513333199° N           9.60335728752787° E
58.9263032160783° N           9.58880122963972° E
58.9230258362132° N           9.57678096652533° E
58.9256701730677° N           9.57315692798904° E
58.9260281015681° N           9.56702294214726° E
58.9281670188559° N           9.55952072715684° E
58.9298923130099° N           9.55287982343133° E
58.9274704674981° N           9.54168666927218° E
58.9293903581463° N           9.53243370169304° E
58.9278868923723° N           9.52335016308612° E
58.928359388039° N            9.5093797088312° E
58.9302193408431° N           9.49751761593526° E
58.9328054047109° N           9.48910176186296° E
58.935531102784° N            9.47503028735201° E
58.9365308300807° N           9.46624397315025° E
58.9369131671222° N           9.46185473180573° E
58.9357787368442° N           9.46148498533172° E
58.9335239254378° N           9.46118381521439° E
58.9316137486456° N           9.46999006140192° E
58.9282526111049° N           9.47019483954442° E
58.9254163370326° N           9.47555008770611° E
58.9282798652492° N           9.48845806571439° E
58.92710978261° N             9.49987518414367° E
58.9226669036699° N           9.50401872520808° E
58.9201355081372° N           9.49848953672276° E
58.919939778371° N            9.48718326639098° E
58.9184119468543° N           9.48943845711493° E
58.9176072175576° N           9.49557429273294° E
58.9152734809383° N           9.49004900928727° E
58.9142489267765° N           9.48052167793338° E
58.9154737491477° N           9.47174832561298° E
58.9127467887184° N           9.47188049508366° E
58.9066348363469° N           9.46874803601629° E
58.9025238122619° N           9.46505197867131° E
58.9063276743235° N           9.46266635462847° E
58.9087180187626° N           9.45775177654551° E
58.9046896023829° N           9.45797203077761° E
58.9014456995244° N           9.45116718428206° E
58.896250858307° N            9.45057821970671° E
58.8963863210375° N           9.45883626680811° E
58.8912188103689° N           9.45913893605243° E
58.8841956533523° N           9.45603186985814° E
58.8795836472536° N           9.46411094435332° E
58.8731110284815° N           9.46618607198561° E
58.8667472470908° N           9.46304635910076° E
58.8663871590064° N           9.45263178803053° E
58.8664716549702° N           9.44393515332641° E
58.8640795028813° N           9.43449873127794° E
58.8651339952243° N           9.43052185370481° E
58.8671952638154° N           9.43127097963518° E
58.8705809006806° N           9.43327570343766° E
58.8748565532846° N           9.43261156223215° E
58.8799957447045° N           9.43142978465052° E
58.8821047582047° N           9.43699002916017° E
58.8781651642667° N           9.44371797206983° E
58.8831900250933° N           9.44824050948309° E
58.8887760567059° N           9.44533462653325° E
58.8907204132621° N           9.44086013726877° E
58.8958281591763° N           9.43796765887078° E
58.8968825634481° N           9.43182900925591° E
58.9031950932521° N           9.43276295640616° E
58.9040283066887° N           9.42924517901833° E
58.9014132068501° N           9.41937495474288° E
58.9047206370603° N           9.41482038222305° E
58.9047735270082° N           9.40307927927597° E
58.9043317942002° N           9.38785195606243° E
58.9005806541717° N           9.37848868441755° E
58.8952994803819° N           9.37182098284101° E
