seaSurveyName,seaNpdidSurvey,seaPolygonPointNumber,seaPolygonNSDeg,seaPolygonNSMin,seaPolygonNSSec,seaPolygonEWDeg,seaPolygonEWMin,seaPolygonEWSec,datesyncNPD
ABP17001,8461,1,59,22,40.00,1,43,32.00,10.10.2017
ABP17001,8461,2,59,27,19.00,1,43,10.00,10.10.2017
ABP17001,8461,3,59,43,59.00,1,53,8.00,10.10.2017
ABP17001,8461,4,59,48,9.00,2,14,13.00,10.10.2017
ABP17001,8461,5,59,46,10.00,2,26,52.00,10.10.2017
ABP17001,8461,6,59,32,4.00,2,18,9.00,10.10.2017
ABP17001,8461,7,59,18,56.00,2,7,33.00,10.10.2017
ABP17002,8467,1,59,25,50.00,1,41,3.00,10.10.2017
ABP17002,8467,2,59,18,14.00,1,36,38.00,10.10.2017
ABP17002,8467,3,59,15,0.00,1,51,18.00,10.10.2017
ABP17002,8467,4,59,14,32.00,1,50,54.00,10.10.2017
ABP17002,8467,5,59,12,10.00,2,2,33.00,10.10.2017
ABP17002,8467,6,59,15,54.00,2,5,45.00,10.10.2017
ABP17002,8467,7,59,21,39.00,2,0,13.00,10.10.2017
ABP17002,8467,8,59,22,51.00,1,54,45.00,10.10.2017
ABP17002,8467,9,59,25,50.00,1,41,3.00,10.10.2017
ABP17003,8476,1,56,51,20.00,2,46,38.00,10.10.2017
ABP17003,8476,2,57,14,44.00,2,24,1.00,10.10.2017
ABP17003,8476,3,57,23,17.00,2,53,47.00,10.10.2017
ABP17003,8476,4,56,59,48.00,3,16,3.00,10.10.2017
ABP17004,8479,1,66,2,20.00,8,12,51.00,10.10.2017
ABP17004,8479,2,65,44,26.00,8,5,46.00,10.10.2017
ABP17004,8479,3,65,21,4.00,7,26,59.00,10.10.2017
ABP17004,8479,4,65,26,28.00,7,2,47.00,10.10.2017
ABP17004,8479,5,65,42,10.00,7,6,45.00,10.10.2017
ABP17004,8479,6,65,58,40.00,7,21,53.00,10.10.2017
ABP17004,8479,7,66,10,21.00,7,41,57.00,10.10.2017
ABP17100,8448,1,59,46,25.00,2,35,45.00,10.10.2017
ABP17100,8448,2,59,51,45.00,2,38,40.00,10.10.2017
ABP17100,8448,3,59,53,30.00,2,38,40.00,10.10.2017
ABP17100,8448,4,59,53,30.00,2,33,0.00,10.10.2017
ABP17100,8448,5,59,51,45.00,2,33,0.00,10.10.2017
ABP17100,8448,6,59,46,25.00,2,34,40.00,10.10.2017
ABP17101,8474,1,56,14,41.00,3,20,20.00,10.10.2017
ABP17101,8474,2,56,14,41.00,3,21,30.00,10.10.2017
ABP17101,8474,3,56,15,20.00,3,21,30.00,10.10.2017
ABP17101,8474,4,56,15,20.00,3,20,20.00,10.10.2017
ABP17102,8491,1,56,17,37.00,3,22,29.00,10.10.2017
ABP17102,8491,2,56,17,37.00,3,25,31.00,10.10.2017
ABP17102,8491,3,56,15,18.00,3,25,30.00,10.10.2017
ABP17102,8491,4,56,15,18.00,3,22,28.00,10.10.2017
ABP17103,8492,1,57,6,37.00,2,50,35.00,10.10.2017
ABP17103,8492,2,57,6,45.00,2,51,1.00,10.10.2017
ABP17103,8492,3,57,6,17.00,2,51,31.00,10.10.2017
ABP17103,8492,4,57,6,9.00,2,51,5.00,10.10.2017
ABP17104,8522,0,61,11,20.00,2,4,52.00,10.10.2017
ABP17104,8522,0,61,35,10.00,2,40,12.00,10.10.2017
ABP17104,8522,1,61,48,58.00,2,42,0.00,10.10.2017
ABP17104,8522,2,61,48,58.00,2,48,54.00,10.10.2017
ABP17104,8522,3,61,34,59.00,2,46,48.00,10.10.2017
ABP17104,8522,4,61,9,0.00,2,17,2.00,10.10.2017
ABP17105,8547,1,59,2,56.79,2,14,52.43,10.10.2017
ABP17105,8547,2,59,2,55.87,2,12,18.86,10.10.2017
ABP17105,8547,3,59,1,40.98,2,12,20.59,10.10.2017
ABP17105,8547,4,59,1,41.89,2,14,54.07,10.10.2017
ABP17219,8423,1,56,15,6.90,3,32,37.00,10.10.2017
ABP17219,8423,2,56,10,37.90,3,35,7.40,10.10.2017
ABP17219,8423,3,56,8,15.20,3,34,20.50,10.10.2017
ABP17219,8423,4,56,6,35.40,3,28,45.20,10.10.2017
ABP17219,8423,5,56,6,36.70,3,22,46.10,10.10.2017
ABP17219,8423,6,56,8,6.50,3,20,22.10,10.10.2017
ABP17219,8423,7,56,11,14.70,3,18,10.50,10.10.2017
ABP17219,8423,8,56,18,53.60,3,15,48.50,10.10.2017
ABP17219,8423,9,56,20,35.30,3,17,9.40,10.10.2017
ABP17219,8423,10,56,21,47.90,3,22,9.20,10.10.2017
ABP17219,8423,11,56,20,25.60,3,28,25.00,10.10.2017
ABP17300,8424,1,59,41,59.00,2,39,28.00,10.10.2017
ABP17300,8424,2,59,54,5.00,2,46,30.00,10.10.2017
ABP17300,8424,3,59,56,31.00,2,30,16.00,10.10.2017
ABP17300,8424,4,59,51,18.00,2,27,11.00,10.10.2017
ABP17300,8424,5,59,50,55.00,2,29,48.00,10.10.2017
ABP17300,8424,6,59,44,9.00,2,25,16.00,10.10.2017
ABP17301,8443,1,56,16,31.00,3,21,51.00,10.10.2017
ABP17301,8443,2,56,17,6.00,3,21,57.00,10.10.2017
ABP17301,8443,3,56,17,31.00,3,22,24.00,10.10.2017
ABP17301,8443,4,56,17,45.00,3,23,20.00,10.10.2017
ABP17301,8443,5,56,17,41.00,3,24,20.00,10.10.2017
ABP17301,8443,6,56,17,22.00,3,25,7.00,10.10.2017
ABP17301,8443,7,56,16,46.00,3,25,37.00,10.10.2017
ABP17301,8443,8,56,16,9.00,3,25,36.00,10.10.2017
ABP17301,8443,9,56,15,48.00,3,25,10.00,10.10.2017
ABP17301,8443,10,56,15,29.00,3,24,1.50,10.10.2017
ABP17301,8443,11,56,15,31.00,3,23,4.50,10.10.2017
ABP17301,8443,12,56,15,49.00,3,22,24.00,10.10.2017
ABP17302,8450,1,72,47,0.00,20,58,10.00,10.10.2017
ABP17302,8450,2,72,51,50.00,20,58,10.00,10.10.2017
ABP17302,8450,3,72,51,50.00,20,41,45.00,10.10.2017
ABP17302,8450,4,72,47,0.00,20,41,50.00,10.10.2017
ABP17303,8455,1,72,6,50.00,21,45,18.00,10.10.2017
ABP17303,8455,2,72,2,9.00,22,13,8.00,10.10.2017
ABP17303,8455,3,72,6,50.00,22,21,31.00,10.10.2017
ABP17303,8455,4,72,11,32.00,21,53,36.00,10.10.2017
ABP17304,8472,1,57,7,12.00,2,49,3.00,10.10.2017
ABP17304,8472,2,57,4,50.00,2,51,26.00,10.10.2017
ABP17304,8472,3,57,5,39.00,2,54,11.00,10.10.2017
ABP17304,8472,4,57,8,1.00,2,51,48.00,10.10.2017
ABP17305,8488,1,65,38,59.79,7,22,35.22,10.10.2017
ABP17305,8488,2,65,41,56.76,7,24,50.56,10.10.2017
ABP17305,8488,3,65,46,14.40,7,29,14.77,10.10.2017
ABP17305,8488,4,65,44,20.83,7,39,34.20,10.10.2017
ABP17305,8488,5,65,40,1.00,7,34,45.75,10.10.2017
ABP17305,8488,6,65,37,17.79,7,32,52.01,10.10.2017
ABP17305,8488,7,65,33,9.07,7,26,58.30,10.10.2017
ABP17305,8488,8,65,34,51.96,7,17,40.75,10.10.2017
ABP17306,8484,1,72,6,50.00,21,45,18.00,10.10.2017
ABP17306,8484,2,72,2,9.00,22,13,8.00,10.10.2017
ABP17306,8484,3,72,6,50.00,22,21,31.00,10.10.2017
ABP17306,8484,4,72,11,32.00,21,53,36.00,10.10.2017
ABP17307,8483,1,72,42,0.00,34,45,0.00,10.10.2017
ABP17307,8483,2,72,42,0.00,34,59,55.00,10.10.2017
ABP17307,8483,3,72,34,0.00,34,59,55.00,10.10.2017
ABP17307,8483,4,72,34,0.00,34,45,0.00,10.10.2017
ABP17308,8485,1,72,43,24.00,20,55,17.00,10.10.2017
ABP17308,8485,2,72,52,32.00,21,1,53.00,10.10.2017
ABP17308,8485,3,72,53,34.00,20,45,20.00,10.10.2017
